no|method|content|content_type|accept_type|graph|response content_type|output_type|no statements|initial input|same|moved|removed|body content|same|moved|removed|GET content_type|output_type|no statements|initial input|same|moved|removed|body content|same|moved|removed
1|GET|n-triples|application/n-triples|application/n-triples|none|application/n-triples|normal|4|modified|1|3|0|none found||||application/n-quads|normal|4|all found||||none found|||
2|GET|n-triples|application/n-triples|application/n-quads|none|application/n-quads|normal|4|all found||||none found||||application/n-quads|normal|4|all found||||none found|||
3|GET|n-triples|application/n-quads|application/n-triples|none|application/n-triples|normal|4|modified|1|3|0|none found||||application/n-quads|normal|4|all found||||none found|||
4|GET|n-triples|application/n-quads|application/n-quads|none|application/n-quads|normal|4|all found||||none found||||application/n-quads|normal|4|all found||||none found|||
5|GET|n-quads|application/n-triples|application/n-triples|none|application/n-triples|normal|4|modified|1|3|0|none found||||application/n-quads|normal|4|all found||||none found|||
6|GET|n-quads|application/n-triples|application/n-quads|none|application/n-quads|normal|4|all found||||none found||||application/n-quads|normal|4|all found||||none found|||
7|GET|n-quads|application/n-quads|application/n-triples|none|application/n-triples|normal|4|modified|1|3|0|none found||||application/n-quads|normal|4|all found||||none found|||
8|GET|n-quads|application/n-quads|application/n-quads|none|application/n-quads|normal|4|all found||||none found||||application/n-quads|normal|4|all found||||none found|||
9|GET|n-triples|application/n-triples|application/n-triples|default|application/n-triples|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
10|GET|n-triples|application/n-triples|application/n-quads|default|application/n-quads|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
11|GET|n-triples|application/n-quads|application/n-triples|default|application/n-triples|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
12|GET|n-triples|application/n-quads|application/n-quads|default|application/n-quads|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
13|GET|n-quads|application/n-triples|application/n-triples|default|application/n-triples|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
14|GET|n-quads|application/n-triples|application/n-quads|default|application/n-quads|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
15|GET|n-quads|application/n-quads|application/n-triples|default|application/n-triples|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
16|GET|n-quads|application/n-quads|application/n-quads|default|application/n-quads|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
17|GET|n-triples|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|normal|1|modified|0|1|3|none found||||application/n-quads|normal|4|all found||||none found|||
18|GET|n-triples|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
19|GET|n-triples|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|normal|1|modified|0|1|3|none found||||application/n-quads|normal|4|all found||||none found|||
20|GET|n-triples|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
21|GET|n-quads|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|normal|1|modified|0|1|3|none found||||application/n-quads|normal|4|all found||||none found|||
22|GET|n-quads|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
23|GET|n-quads|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|normal|1|modified|0|1|3|none found||||application/n-quads|normal|4|all found||||none found|||
24|GET|n-quads|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|normal|1|modified|1|0|3|none found||||application/n-quads|normal|4|all found||||none found|||
25|PUT|n-triples|application/n-triples|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|1|none found||||all found|||
26|PUT|n-triples|application/n-triples|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|1|none found||||all found|||
27|PUT|n-triples|application/n-quads|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|1|none found||||all found|||
28|PUT|n-triples|application/n-quads|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|1|none found||||all found|||
29|PUT|n-quads|application/n-triples|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|3|none found||||all found|||
30|PUT|n-quads|application/n-triples|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|3|none found||||all found|||
31|PUT|n-quads|application/n-quads|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|3|none found||||all found|||
32|PUT|n-quads|application/n-quads|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|3|none found||||all found|||
33|PUT|n-triples|application/n-triples|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
34|PUT|n-triples|application/n-triples|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
35|PUT|n-triples|application/n-quads|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
36|PUT|n-triples|application/n-quads|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
37|PUT|n-quads|application/n-triples|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
38|PUT|n-quads|application/n-triples|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
39|PUT|n-quads|application/n-quads|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
40|PUT|n-quads|application/n-quads|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
41|PUT|n-triples|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
42|PUT|n-triples|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
43|PUT|n-triples|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
44|PUT|n-triples|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
45|PUT|n-quads|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
46|PUT|n-quads|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
47|PUT|n-quads|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
48|PUT|n-quads|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
49|DELETE|n-triples|application/n-triples|application/n-triples|none|application/n-triples|activity stream|0|||||||||(404 NOT FOUND)|<empty repository>|0||||||||
50|DELETE|n-triples|application/n-triples|application/n-quads|none|application/n-quads|activity stream|0|||||||||(404 NOT FOUND)|<empty repository>|0||||||||
51|DELETE|n-triples|application/n-quads|application/n-triples|none|application/n-triples|activity stream|0|||||||||(404 NOT FOUND)|<empty repository>|0||||||||
52|DELETE|n-triples|application/n-quads|application/n-quads|none|application/n-quads|activity stream|0|||||||||(404 NOT FOUND)|<empty repository>|0||||||||
53|DELETE|n-quads|application/n-triples|application/n-triples|none|application/n-triples|activity stream|0|||||||||(404 NOT FOUND)|<empty repository>|0||||||||
54|DELETE|n-quads|application/n-triples|application/n-quads|none|application/n-quads|activity stream|0|||||||||(404 NOT FOUND)|<empty repository>|0||||||||
55|DELETE|n-quads|application/n-quads|application/n-triples|none|application/n-triples|activity stream|0|||||||||(404 NOT FOUND)|<empty repository>|0||||||||
56|DELETE|n-quads|application/n-quads|application/n-quads|none|application/n-quads|activity stream|0|||||||||(404 NOT FOUND)|<empty repository>|0||||||||
57|DELETE|n-triples|application/n-triples|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
58|DELETE|n-triples|application/n-triples|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
59|DELETE|n-triples|application/n-quads|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
60|DELETE|n-triples|application/n-quads|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
61|DELETE|n-quads|application/n-triples|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
62|DELETE|n-quads|application/n-triples|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
63|DELETE|n-quads|application/n-quads|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
64|DELETE|n-quads|application/n-quads|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
65|DELETE|n-triples|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
66|DELETE|n-triples|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
67|DELETE|n-triples|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
68|DELETE|n-triples|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
69|DELETE|n-quads|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
70|DELETE|n-quads|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
71|DELETE|n-quads|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
72|DELETE|n-quads|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|3|modified|3|0|1|none found|||
73|POST|n-triples|application/n-triples|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|5|all found||||modified|0|1|0
74|POST|n-triples|application/n-triples|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|5|all found||||modified|0|1|0
75|POST|n-triples|application/n-quads|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|5|all found||||all found|||
76|POST|n-triples|application/n-quads|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|5|all found||||all found|||
77|POST|n-quads|application/n-triples|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|7|all found||||modified|0|3|0
78|POST|n-quads|application/n-triples|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|7|all found||||modified|0|3|0
79|POST|n-quads|application/n-quads|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|7|all found||||all found|||
80|POST|n-quads|application/n-quads|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|7|all found||||all found|||
81|POST|n-triples|application/n-triples|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|5|all found||||all found|||
82|POST|n-triples|application/n-triples|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|5|all found||||all found|||
83|POST|n-triples|application/n-quads|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|5|all found||||all found|||
84|POST|n-triples|application/n-quads|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|5|all found||||all found|||
85|POST|n-quads|application/n-triples|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|7|all found||||modified|1|2|0
86|POST|n-quads|application/n-triples|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|7|all found||||modified|1|2|0
87|POST|n-quads|application/n-quads|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|7|all found||||modified|1|2|0
88|POST|n-quads|application/n-quads|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|7|all found||||modified|1|2|0
89|POST|n-triples|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|5|all found||||modified|0|1|0
90|POST|n-triples|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|5|all found||||modified|0|1|0
91|POST|n-triples|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|5|all found||||modified|0|1|0
92|POST|n-triples|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|5|all found||||modified|0|1|0
93|POST|n-quads|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|7|all found||||modified|0|3|0
94|POST|n-quads|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|7|all found||||modified|0|3|0
95|POST|n-quads|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|7|all found||||modified|0|3|0
96|POST|n-quads|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|7|all found||||modified|0|3|0
97|HEAD|n-triples|application/n-triples|application/n-triples|none|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
98|HEAD|n-triples|application/n-triples|application/n-quads|none|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
99|HEAD|n-triples|application/n-quads|application/n-triples|none|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
100|HEAD|n-triples|application/n-quads|application/n-quads|none|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
101|HEAD|n-quads|application/n-triples|application/n-triples|none|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
102|HEAD|n-quads|application/n-triples|application/n-quads|none|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
103|HEAD|n-quads|application/n-quads|application/n-triples|none|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
104|HEAD|n-quads|application/n-quads|application/n-quads|none|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
105|HEAD|n-triples|application/n-triples|application/n-triples|default|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
106|HEAD|n-triples|application/n-triples|application/n-quads|default|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
107|HEAD|n-triples|application/n-quads|application/n-triples|default|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
108|HEAD|n-triples|application/n-quads|application/n-quads|default|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
109|HEAD|n-quads|application/n-triples|application/n-triples|default|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
110|HEAD|n-quads|application/n-triples|application/n-quads|default|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
111|HEAD|n-quads|application/n-quads|application/n-triples|default|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
112|HEAD|n-quads|application/n-quads|application/n-quads|default|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
113|HEAD|n-triples|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
114|HEAD|n-triples|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
115|HEAD|n-triples|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
116|HEAD|n-triples|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
117|HEAD|n-quads|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
118|HEAD|n-quads|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
119|HEAD|n-quads|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
120|HEAD|n-quads|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|empty|0|||||||||application/n-quads|normal|4|all found||||none found|||
121|PATCH|n-triples|application/n-triples|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
122|PATCH|n-triples|application/n-triples|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
123|PATCH|n-triples|application/n-quads|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
124|PATCH|n-triples|application/n-quads|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
125|PATCH|n-quads|application/n-triples|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|5|modified|2|0|2|all found|||
126|PATCH|n-quads|application/n-triples|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|5|modified|2|0|2|all found|||
127|PATCH|n-quads|application/n-quads|application/n-triples|none|application/n-triples|activity stream|0|||||||||application/n-quads|normal|5|modified|2|0|2|all found|||
128|PATCH|n-quads|application/n-quads|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|5|modified|2|0|2|all found|||
129|PATCH|n-triples|application/n-triples|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
130|PATCH|n-triples|application/n-triples|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
131|PATCH|n-triples|application/n-quads|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
132|PATCH|n-triples|application/n-quads|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
133|PATCH|n-quads|application/n-triples|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
134|PATCH|n-quads|application/n-triples|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
135|PATCH|n-quads|application/n-quads|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
136|PATCH|n-quads|application/n-quads|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
137|PATCH|n-triples|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
138|PATCH|n-triples|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
139|PATCH|n-triples|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
140|PATCH|n-triples|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
141|PATCH|n-quads|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
142|PATCH|n-quads|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
143|PATCH|n-quads|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
144|PATCH|n-quads|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
